id;code;libelle
1;alarm Extension eco-centric;Unbranded
2;Investor harness;value-added Regional Buckinghamshire
3;Automotive;Team-oriented
4;Assistant Marketing Digitized;global Bedfordshire Tasty
5;Small Money Market Account;Granite
6;Table ROI interface;Computer East Caribbean Dollar Anguilla
7;Overpass leverage Business-focused;HTTP violet Borders
8;Auto Loan Account technologies azure;Metrics
9;Virgin Islands, British;circuit virtual Concrete
10;architectures full-range;transmit Avon architectures
