id;code;libelle
1;whiteboard;Netherlands purple
2;Rustic Frozen Salad invoice open-source;UAE Dirham driver
3;Handmade;digital Pula Cambridgeshire
4;invoice;Table Mexican Peso Mexican Unidad de Inversion (UDI) Fantastic
5;digital Buckinghamshire;demand-driven payment
6;Oregon;Orchard Producer Regional
7;Fully-configurable Fresh National;Tasty
8;concept Orchestrator;initiatives Seamless Berkshire
9;bleeding-edge overriding;azure Dominican Republic
10;Investment Account next-generation disintermediate;transmitter
