id;numero;montant_loyer;superficie_batie;coeff_correctif_batie;valeur_batie;lineaire_cloture;coeff_cloture;valeur_cloture;amenagement_spaciaux;valeur_amenagement;valeur_venale;valeur_locativ;pays_adresse;ville_adresse
1;markets AGP Bahamian Dollar;53346;25898;97578;73673;65423;259;29695;deliverables local Bedfordshire;40276;14248;PCI connecting Savings Account;copy;Handcrafted
2;New Jersey;47033;63063;83053;1148;49960;87629;26160;TCP revolutionize;69882;19875;Soft;web-enabled;SAS mission-critical Sweden
3;connect Ergonomic Plastic Shoes;50001;76107;80950;82823;99461;39179;33110;Uganda Shilling;53352;32890;Cuban Peso Peso Convertible;deposit quantify;Investor
4;systems Coves;88697;8082;53175;31208;34280;21327;62865;invoice systems;97690;94860;Bedfordshire Handmade initiatives;deposit Regional;orchestrate impactful incentivize
5;bandwidth;1787;92153;26913;36057;21333;4424;5786;Peso Uruguayo Uruguay Peso en Unidades Indexadas Configurable Avon;64556;6343;Officer efficient;deposit Principal;Representative Villages
6;Credit Card Account;86429;21406;98573;45258;6547;39095;23219;Car;37765;35123;USB;Sierra Leone;Dobra
7;orchid calculate evolve;74938;4361;66436;23281;2839;53377;18941;high-level circuit Valleys;74987;94789;SMTP Cambridgeshire;Motorway input SSL;mindshare
8;Web;49167;74202;37899;96424;97256;69786;34237;monitor Supervisor Central;19536;80989;magnetic SMTP program;magnetic payment Bedfordshire;Small Bike generate
9;primary;86307;99917;70014;93911;52243;87801;69407;Turnpike AGP;79799;70262;Checking Account;USB;magenta Kroon Sleek
10;Gold implementation Lebanese Pound;62399;63168;14491;28545;53126;26602;55209;Human withdrawal;63180;13760;Money Market Account Timor-Leste Pizza;Intuitive strategic New Mexico;Berkshire
