id;num_section;numero_parcelle;nicad;superfici;titre_mere;titre_cree
1;Brand Auto Loan Account Chicken;synthesize Games;Gorgeous Steel Pizza blue indexing;48319;Maine indexing generating;Steel Berkshire Senegal
2;architectures Administrator foreground;microchip programming Montana;deposit Incredible Analyst;29453;Customer Money Market Account;salmon solid state
3;Books;Rustic Concrete Shirt;Optimization payment;64364;Gorgeous Cotton Gloves FTP back up;Grocery card
4;Washington;capacity Bike driver;United Kingdom copying;96419;Baht Home action-items;Parks Licensed
5;paradigms auxiliary;sticky;seamless withdrawal Berkshire;71970;open-source Tasty payment;syndicate Illinois
6;New Jersey Poland 1080p;SMS;Garden;19886;Latvian Lats Orchestrator;Metal indexing
7;orchid;ubiquitous national National;Steel Lodge Decentralized;92242;blue application Lebanese Pound;Music Re-contextualized
8;withdrawal end-to-end turquoise;Credit Card Account Gorgeous;methodology Paradigm lime;59708;Awesome Frozen Keyboard;Borders Direct
9;Internal reboot;Massachusetts Money Market Account Division;Director;41611;Lead;Locks hardware
10;Tasty Soft;navigating leading-edge;composite Brand;37932;reboot;reciprocal parsing
